Long,Lat,Point
-42.86039951787508,-3.0468251601047376,0
-42.86263045979184,-3.04992499093263,0
-42.86625246201882,-3.048749886247354,0
-42.866259989933035,-3.044923788976682,0
-42.8626426815124,-3.0437342648554617,0
-42.699230527402705,-2.698278985302312,0
-42.70146083758599,-2.7013782825368047,0
-42.70508123313704,-2.7002029588166816,0
-42.70508840238004,-2.696377256611509,0
-42.70147247420544,-2.6951881978916905,0
-42.891993945727144,-3.032241462468476,0
-42.89403910011133,-3.035082953156678,0
-42.897359248579235,-3.034005622870743,0
-42.89736601658019,-3.0304982957719817,0
-42.89405008550585,-3.029408003004251,0
-42.7656504460851,-3.073209923390765,0
-42.76769509714673,-3.07605147115028,0
-42.771015248813,-3.0749747151226448,0
-42.771022520886916,-3.0714676848144356,0
-42.767706898605596,-3.070377002672765,0
-42.82579446582045,-3.0152944413524247,0
-42.82811820661987,-3.0185233863868812,0
-42.83189094512946,-3.0172993890699824,0
-42.83189883007857,-3.013313958730358,0
-42.82813100907848,-3.0120748569969216,0
-42.76230300145315,-3.0612698835938916,0
-42.76444057711283,-3.0642405758711617,0
-42.767911593744586,-3.063114861059905,0
-42.76791917695517,-3.0594484269693405,0
-42.76445288510554,-3.0583081890903205,0
-42.454985031546,-2.731954043269842,0
-42.45712141278854,-2.734924151675533,0
-42.460590681131855,-2.733798797707525,0
-42.46059837936341,-2.7301331661773025,0
-42.45713390274372,-2.728993067326912,0
-41.859492768581234,-2.8356868705089875,0
-41.86162646852994,-2.838656714754388,0
-41.865094913251,-2.837534025086164,0
-41.86510477836678,-2.8338702986252087,0
-41.86164246579915,-2.8327287203632467,0
-42.97274232712981,-3.5293092232349057,0
-42.97497390738022,-3.532409681421785,0
-42.978598139287335,-3.531235203881261,0
-42.97860640242604,-3.527408869987134,0
-42.97498732531095,-3.5262185709500136,0
-42.869422621972674,-3.0544374032761485,0
-42.87174656080148,-3.0576664044605364,0
-42.87551952552775,-3.056442316518062,0
-42.875527352163274,-3.0524567747125237,0
-42.87175926949018,-3.051217694066341,0
-41.83982810554683,-2.831839040958925,0
-41.84214724937435,-2.8350671030462222,0
-41.84591723316819,-2.833846861621649,0
-41.8459280063043,-2.8298646228051743,0
-41.84216472217528,-2.8286237523007003,0
-42.89639193890591,-3.128264938470371,0
-42.898251195077485,-3.130848221821494,0
-42.90126984550652,-3.129869003913281,0
-42.90127618229604,-3.126680522906641,0
-42.89826147767149,-3.125689171228985,0
-42.85407026480004,-3.1748287650112834,0
-42.85639414621396,-3.1780579440585903,0
-42.86016761593943,-3.176834222806038,0
-42.8601758105158,-3.172848730088912,0
-42.85640745202119,-3.171609313323035,0
-42.854878452923586,-3.041932140021951,0
-42.857202325421085,-3.045161123770586,0
-42.86097521725117,-3.043937067751514,0
-42.86098306519044,-3.0399515628825107,0
-42.85721506839346,-3.038712473357207,0
-42.96999565328664,-3.5510023130098003,0
-42.97222723129181,-3.5541028012323226,0
-42.97585156067373,-3.552928385640045,0
-42.97585988603737,-3.549102060050549,0
-42.9722407502005,-3.5479117042360375,0
-42.6875201739686,-3.1489760084721725,0
-42.68975034988368,-3.152075990437854,0
-42.69337254669681,-3.150901872860517,0
-42.693380958366106,-3.147076232989372,0
-42.68976400292147,-3.145886006823437,0
-42.77469826304255,-3.0683471896260186,0
-42.77683589093455,-3.0713178921047817,0
-42.78030695213062,-3.0701921441753193,0
-42.78031451066967,-3.0665256795673854,0
-42.776848159097675,-3.0653854557897753,0
-42.76603364272851,-3.08351652198228,0
-42.76817123379418,-3.086487245722476,0
-42.77164234434149,-3.085361568974115,0
-42.7716499699899,-3.081695127062745,0
-42.76818361073134,-3.080554846240828,0
-42.95382769595419,-3.4126359329833367,0
-42.955873183724336,-3.4154778849258953,0
-42.95919489070441,-3.414401117649809,0
-42.959202285400885,-3.4108936790845545,0
-42.95588518749655,-3.4098027537117193,0
-42.7619859622115,-3.271723479040876,0
-42.76403060704544,-3.2745652946177244,0
-42.76735153390953,-3.2734890069373908,0
-42.76735928943539,-3.269981998883213,0
-42.76404319301801,-3.26889086219472,0
-42.80650753779695,-3.453533795422377,0
-42.80845945794552,-3.456246660784678,0
-42.81163019513528,-3.4552195123516647,0
-42.81163785577431,-3.4518718260572885,0
-42.8084718889793,-3.450830013629581,0
-42.90071078393167,-3.058838967150235,0
-42.903034863979684,-3.062067971914249,0
-42.90680788820001,-3.0608437592744533,0
-42.90681561060303,-3.056858137219319,0
-42.90304740408534,-3.055619131207645,0
-42.979234985493434,-3.5228136450393173,0
-42.98146659308907,-3.525914091458821,0
-42.9850908014692,-3.5247395690824463,0
-42.98509902284614,-3.5209132192926953,0
-42.98147994335993,-3.5197229551780436,0
-42.95197341361997,-3.582968192009713,0
-42.953925983881156,-3.585681163836578,0
-42.95709738362008,-3.584653689164895,0
-42.95710480340961,-3.581305696409709,0
-42.95393802657877,-3.5802640192911097,0
-41.85066139244625,-2.8123565500993752,0
-41.85260953797027,-2.8150680956310143,0
-41.85577627103669,-2.8140429929750033,0
-41.85578523125733,-2.8106978808036898,0
-41.85262406499342,-2.8096556235070134,0
-42.77940600187849,-3.074866004559542,0
-42.78163659063979,-3.0779658777784,0
-42.785258602274155,-3.0767911802766923,0
-42.785266488202666,-3.0729652914747536,0
-42.781649392012596,-3.0717754901228638,0
-43.00370743068824,-3.5027945357797776,0
-43.00584615497756,-3.5057657599517533,0
-43.00931928836637,-3.5046400249717005,0
-43.00932702844022,-3.500973050579011,0
-43.005858722334565,-3.4998324959109217,0
-42.88478828514933,-3.060977351594102,0
-42.88692637341085,-3.0639480399192074,0
-42.89039754311925,-3.062821833228913,0
-42.8904047092327,-3.0591551003457838,0
-42.88693800653493,-3.0580151681381738,0
-42.85530454360239,-3.0310841347018473,0
-42.857349553144,-3.0339256258459715,0
-42.86066965458912,-3.0328484320718196,0
-42.86067653813632,-3.029341188538521,0
-42.85736072547975,-3.0282508113283817,0
-42.770509436636935,-3.136139873944698,0
-42.772461168472006,-3.1388523411507565,0
-42.77563064065513,-3.137824647843245,0
-42.77563771026838,-3.1344770216978883,0
-42.77247263989004,-3.1334357916903635,0
-42.67664062215289,-3.1277990305368673,0
-42.67859198435285,-3.130511485453319,0
-42.681761310468204,-3.1294841266969753,0
-42.68176865894105,-3.1261367187788838,0
-42.678603906879786,-3.1250952900778923,0
-42.467388491485,-2.731980403304956,0
-42.46952492389046,-2.734950518164532,0
-42.4729942141288,-2.7338251173054173,0
-42.473001874819445,-2.7301594504679807,0
-42.469537353104805,-2.7290193765315234,0
-42.86934047186861,-3.3549525037539096,0
-42.87129262551751,-3.357665231712485,0
-42.8744630379928,-3.356637624488526,0
-42.87447026566812,-3.353289792291495,0
-42.871304354977575,-3.3522483478194607,0
-42.870246954946,-3.046844774521401,0
-42.87201315170009,-3.0492988060877524,0
-42.874880575700104,-3.048368483883875,0
-42.87488651274028,-3.045339474237034,0
-42.872022783917515,-3.0443977838462493,0
-41.82821826133066,-2.8393950348719814,0
-41.82998076154365,-2.841848363838001,0
-41.83284594509814,-2.8409210414682855,0
-41.832854190269956,-2.8378945806392597,0
-41.82999412654557,-2.836951474614524,0
-42.955226098818486,-3.5770082933937157,0
-42.95755059968299,-3.580238012565012,0
-42.961326054816624,-3.5790147963048184,0
-42.961334853020176,-3.5750290784961614,0
-42.9575648881455,-3.5737890161284414,0
-42.89137313560728,-3.141816179915053,0
-42.89369718408271,-3.145045305352621,0
-42.89747055588413,-3.143821336404857,0
-42.897478523598025,-3.1398357445249028,0
-42.89371012233516,-3.138596513611774,0
-42.758269862091126,-3.054752525254071,0
-42.760593295199804,-3.057981528839619,0
-42.764366107698095,-3.056757925815625,0
-42.764374345008214,-3.0527726799615964,0
-42.76060666836533,-3.051533298960039,0
-42.81378003845168,-2.73700401421348,0
-42.815824909862755,-2.7398451172587803,0
-42.81914389682538,-2.7387674243534637,0
-42.81915023217263,-2.7352602590850417,0
-42.81583519182621,-2.7341704298493363,0
-42.76560400348895,-3.0954486337467113,0
-42.76764865418071,-3.098290211501078,0
-42.770968891139844,-3.0972135064424213,0
-42.770976216090084,-3.0937064777124332,0
-42.767660541449736,-3.0926157455781995,0
-42.834547490721974,-3.220352315199221,0
-42.83649948080401,-3.2230648837646356,0
-42.839669340782734,-3.222037128931661,0
-42.83967639149495,-3.218689364200692,0
-42.83651092252363,-3.2176481093968823,0
-42.774445293512144,-3.060210460234646,0
-42.77639704016933,-3.062922829991202,0
-42.77956623801984,-3.061894957027738,0
-42.77957312393242,-3.0585473171050612,0
-42.77640821356211,-3.057506258195769,0
-42.755599094181875,-3.041729164487389,0
-42.75755076884599,-3.0444415098977684,0
-42.760719876774736,-3.0434136657967352,0
-42.76072677914772,-3.0400660678420866,0
-42.75756196867796,-3.0390250062056374,0
-42.6792929225841,-3.1484152540557764,0
-42.68124429432511,-3.151127736705573,0
-42.68441370096161,-3.1501004146207463,0
-42.68442108949936,-3.1467530017177783,0
-42.68125628189359,-3.145711533237025,0
-41.824157742168225,-2.845887702761561,0
-41.82610574492213,-2.84859928552578,0
-41.82927254447135,-2.8475743853876683,0
