Long,Lat
-41.859492768581234,-2.8356868705089875
-41.83392375399682,-2.822608909190686
-41.84081391929076,-2.8161237706229016
-43.79098186289751,-7.867705011416859
-44.08310659691539,-8.56901927552013
-43.796339788326534,-8.036474780156396
-43.78334210316011,-8.194879199669254
-43.805798417788466,-8.059834937100815
-43.561885569796885,-7.987432997390222
-43.815531998487515,-8.267142818774861
-44.02697494607952,-8.287791177884467
-43.8056176090849,-8.2128520311899
-43.80136940660854,-8.084782370383076
-43.817474032297966,-8.255211043755109
-43.80666362633801,-8.135803815121447
-43.57089448463415,-7.979325674568653
-43.59654656077498,-7.998403597484195
-43.922272434067125,-8.474729625969221
-43.92101737548306,-8.48503608739091
-43.87423930671489,-8.684044151897664
-44.077531569670825,-8.563579502000685
-43.817110067247114,-8.729992454462739
-43.55253305822014,-7.977091612132955
-44.053239902075084,-8.739880152937275
-43.92790942021562,-8.554511444947021
-43.58087658483413,-8.237080511658604
-43.95872745802558,-8.892652442119616
-43.79446640959856,-8.025616970665938
-43.79451646352954,-7.773841673288209
-43.99877208167008,-8.556871859778143
-43.94263445425207,-8.747727058208577
-43.788155332435544,-7.810179170414292
-43.885028289945296,-8.723686772779903
-43.732114621966346,-7.673276827812709
-43.81579449867168,-8.178697289491353
-43.79662569162211,-7.9854696104293765
-43.81227326696211,-8.218297877753454
-43.580130244504254,-7.984240610825547
-43.942413755309516,-8.729277218451296
-43.618520151550044,-8.179156283665263
-43.80977706215251,-8.141781734316908
-44.72083258771552,-9.513758245705818
-45.195809378276564,-8.058271199054893
-45.56789453152611,-8.646209439454086
-44.307171029347614,-9.016106295919162
-44.712228014178535,-9.50723905704256
-45.19607747244794,-8.049587411840996
-45.55644328443517,-8.646768942269958
-44.39704392056052,-8.632588671991261
-43.802035568056155,-8.089667870088142
-44.236583767949085,-8.835802941059406
-44.31028811716623,-9.027508164871673
-44.709725402481695,-9.557706477452154
-44.22912810152258,-8.813538489350597
-45.205746189412025,-8.056095422778583
-44.55670136900545,-9.40342519305451
-43.795388693589175,-8.035929380414498
-44.67761126276645,-9.550623337967512
-44.30801973514633,-9.557681639211594
-44.19508081701946,-8.66314987052263
-45.347587368036194,-8.043517144421992
-44.55669960663005,-8.14002830541972
-44.55519226329365,-8.148710075389562
-44.361575740408966,-9.119312298378798
-44.59672572712962,-9.525575866477608
-43.81265988831391,-8.179773324952599
-44.94941899368906,-10.764719367422082
-44.712228014178535,-9.50723905704256
-44.72083214745052,-9.514300929128575
-44.71013545528383,-9.557706821347017
-45.61623362463756,-9.180672391130077
-44.5369144274009,-9.386034150853382
-44.65423498628428,-9.554399641976019
-44.59863213293522,-9.531547509412919
-44.60381378303628,-9.541864298636717
