Lat , Long
-49.85437592997279,-12.999294942338107
-49.84975750006488,-12.55245849724389
-49.393573885120006,-13.068579577693841
-50.05464670085955,-12.396452166509377
-49.25786809724661,-12.059615432145494
-49.25664862033063,-12.045038118265813
-49.24450642544919,-12.044113310909315
-49.142147524260594,-12.21021532649345
-48.73289797148835,-12.106523404664609
-48.74707911085308,-12.089875853542775
-48.75355428730408,-12.081978032270488
-48.74473135060675,-12.074720709489203
-48.735957625154356,-12.166474985034785
-48.75496431158184,-12.139747580760071
-45.89359151755848,-6.749343577780282
-49.15042637613181,-11.821898493567303
-49.12667182271561,-11.87819137115563
-49.128841201542315,-11.897577814885828
-48.658576976260264,-11.809147640900386
-48.66343170841496,-11.714569302278509
-46.17390886567839,-10.590579935897914
-46.03705351401767,-10.496604491311475
-47.205561725484046,-7.868825158556246
-48.09512733685313,-9.306608097642611
-48.11274322799396,-9.304352989274152
-48.13097375517441,-9.304565519815025
-48.125701264563816,-9.31779069072833
-48.132504946638875,-9.349324463233286
-48.1364157826969,-9.360334755839776
-48.13394400095429,-9.374940856452849
-48.12386683762252,-9.369308318734868
-48.110202720408644,-9.344210403483965
-48.096106126945536,-9.334681912062743
-48.10553620148945,-9.335176476124118
-48.06574192408467,-9.315505323714135
-48.12441771171403,-9.409881017469594
-48.0848025561226,-9.248096165442673
-48.07718368481568,-9.246796556640838
-48.069140925295365,-9.242372045245826
-48.068572347078515,-9.262398703426351
-48.109697348518765,-9.188673245703397
-48.10512570897076,-9.18560639636191
-48.11131495539313,-9.18181447869127
-48.1161270838284,-9.17330471388179
-48.14313958361121,-9.158245357798531
-48.184819961686124,-9.152622112036243
-48.172999708097905,-9.192300846763924
-48.22312853240348,-9.20063214731869
-48.26959379811829,-9.200202892271092
-48.27706058652681,-9.219031733039392
-48.26611018435155,-9.210222513140042
-48.26259679102109,-9.172106340328488
-48.25578206394865,-9.170615620523733
-48.17088041522016,-9.178196556642165
-48.30786976781575,-10.51010663543424
-48.324173082691644,-10.487904896838815
-48.383286749799986,-10.660881312424387
-48.38098188761674,-10.636477854801754
-45.77979217944267,-12.3269198607212
-48.35042092456087,-10.619024185658423
-48.38795221556596,-10.613060566896333
-48.38127167044781,-10.613867534622209
-48.3864191685911,-10.5883072840457
-48.32142562090455,-10.596689019154711
-48.385243727822775,-10.497408672411538
-47.85288046798429,-10.122936431936795
-47.89375463379628,-10.164633829755113
-47.904762874087545,-10.19501734414533
-47.88123102985506,-10.20792928828401
-47.86053512010938,-10.210258109106196
-47.86298319657717,-10.211095103894378
-44.339442256392545,-11.030168536373253
-47.981693573131885,-9.864368655666826
-47.94522196458319,-9.789779819145563
-47.950551788148324,-9.78816942693997
-47.955896570122654,-9.78654878169864
-47.95431675298302,-9.781175501072433
-47.94897371295923,-9.78284838852535
-47.94368072870838,-9.784471220915316
-48.67391214365943,-10.857982349746363
-48.46168255269359,-10.371269334549105
-48.684053238775135,-10.162727437849187
-48.68500219003385,-10.151978194399781
-47.50211609798726,-9.786032232105967
-47.51020964739136,-9.792648951761205
-47.86687646798615,-9.812538216778298
-44.349223400574935,-11.047838488371589
-47.89374493718807,-10.16461352565251
-48.155192128785025,-11.12309417399919
-48.155135358317516,-11.13588130659425
-48.14874547336173,-11.139621512704638
-48.509213387588524,-10.986423641731164
-48.70239895260868,-11.117029266947764
-48.69265469162617,-11.119240748974235
-48.69550448164569,-11.109568253867094
-48.718717133263766,-11.114818477548205
-48.71803596450142,-11.190709271120893
-48.709629052918025,-11.175682661809278
-48.69588545945142,-11.167302564561888
-48.66541717533592,-11.178890293289925
-48.91933312211864,-11.839609744617686
-48.908779486620716,-11.906095234312096
-48.89879072900396,-11.896134031411822
-49.33554919846527,-12.249956621306803
-48.62402167936283,-12.355151787739596
-49.1509572158812,-12.208438301073878
-48.673024443943405,-11.726054221837078
-49.13942506394976,-11.891354108934308
-49.18575320510149,-12.14300967178514
-48.26260235306,-6.012729295686028
-49.788753316215946,-9.190428466225598
-49.52794724870927,-10.000478136915127
-49.50951205986779,-9.999254265875221
-49.51806457006798,-10.01100672724341
-49.504201498480185,-10.013914515859732
-49.674290561400824,-10.00115391834737
-49.94832564480397,-12.119174539216859
-49.94415756741251,-12.121488615974501
-46.67815314617219,-8.590152223884523
-46.66660311003027,-8.577321303127023
-46.6657054943452,-8.5698182549445
