2017-02-02,2017-02-18,2017-03-06,2017-03-22,2017-04-07,2017-04-23,2017-05-09,2017-05-25,2017-06-10,2017-06-26,2017-07-12,2017-07-28,2017-08-13,2017-08-29,2017-09-14,2017-09-30,2017-10-16,2017-11-01,2017-11-17,2017-12-03,2017-12-19,2018-01-01,2018-01-17,desvio,lat,long
0.5044,0.5933,0.2887,0.1481,0.1323,0.2537,0.661,0.775,0.7537,0.5427,0.473,0.3889,0.2797,0.1973,0.2,0.0858,0.1045,0.5368,0.6245,0.7509,0.7472,0.4556,0.4291,0.2288549882615057,-45.95331743149122,-14.602031124456019
0.7663,0.591,0.5781,0.4201,0.1852,0.1477,0.4222,0.8539,0.8954,0.9107,0.74,0.2349,0.1652,0.1605,0.1708,0.1584,0.1397,0.2843,0.3396,0.6031,0.5732,0.4901,0.3719,0.2622324228558283,-45.44113431834154,-14.259082740976444
0.2712,0.2573,0.2929,0.7152,0.6174,0.7378,0.776,0.6926,0.6076,0.5936,0.4058,0.2216,0.1083,0.1179,0.1861,0.2934,0.2909,0.7763,0.5375,0.2882,0.2016,0.276,0.1887,0.22881661323015548,-46.10155718409153,-13.813239793968027
0.3463,0.1934,0.0957,0.1011,0.5717,0.7624,0.7508,0.7362,0.7626,0.6965,0.5898,0.335,0.2395,0.0993,0.1083,0.1063,0.1449,0.3967,0.4987,0.7508,0.5634,0.418,0.3475,0.2515196228367416,-45.5790523845651,-14.785527782449845
0.4903,0.5038,0.2829,0.211,0.2962,0.275,0.1753,0.3049,0.4727,0.7756,0.8494,0.5805,0.2221,0.1883,0.1839,0.5063,0.6538,0.8272,0.5752,0.6106,0.611,0.357,0.2984,0.21322762976420684,-45.93576232671438,-13.71736877093492
0.3001,0.3864,0.2366,0.096,0.1067,0.338,0.6792,0.7808,0.8017,0.7529,0.737,0.6423,0.5334,0.2782,0.2185,0.1704,0.1488,0.1816,0.52,0.4515,0.9397,0.982,0.879,0.2890981570796975,-45.595229317602005,-14.788741367286615
0.7079,0.8408,0.8437,0.7282,0.2065,0.1641,0.144,0.287,0.5206,0.6803,0.6908,0.672,0.6365,0.4106,0.3874,0.2345,0.1745,0.1292,0.1165,0.1215,0.1057,0.1593,0.0999,0.27104470606847686,-45.53287606066087,-14.82578125944808
0.694,0.6374,0.6144,0.4783,0.1773,0.2356,0.1767,0.3676,0.69,0.832,0.8566,0.6814,0.1859,0.1674,0.1717,0.1709,0.14,0.1518,0.1894,0.4698,0.7201,0.6217,0.5195,0.25273683457186674,-45.42862663978254,-14.262903008430392
0.6282,0.7151,0.6678,0.3717,0.1599,0.1653,0.1271,0.2052,0.3539,0.5877,0.642,0.6324,0.6593,0.5651,0.404,0.3054,0.1939,0.0796,0.1314,0.2108,0.1945,0.1983,0.1721,0.21955019062969086,-45.52651714116164,-14.84803681243551
0.1977,0.5447,0.5509,0.5046,0.2782,0.194,0.1269,0.2669,0.5191,0.8007,0.858,0.7704,0.6091,0.1649,0.1741,0.1616,0.1544,0.0911,0.1352,0.2831,0.3543,0.8253,0.8936,0.27277464536527257,-45.41558317518445,-14.278115961100418
0.7749,0.6713,0.4286,0.1684,0.1639,0.1687,0.1972,0.5569,0.7763,0.8318,0.7736,0.7142,0.6916,0.4965,0.5315,0.3198,0.2188,0.1465,0.1471,0.1958,0.3532,0.7197,0.8142,0.2599692315330288,-45.54784476590295,-14.791028609492486
0.1326,0.1359,0.1601,0.2982,0.546,0.7035,0.7801,0.7676,0.6947,0.6132,0.4879,0.3595,0.2408,0.2544,0.2773,0.2286,0.1606,0.2375,0.2683,0.8248,0.7046,0.7961,0.7778,0.255914507865358,-45.53918100105341,-14.381482656281571
0.2693,0.1582,0.158,0.1986,0.4626,0.6651,0.8068,0.8537,0.8184,0.8275,0.6755,0.5564,0.3786,0.2773,0.1522,0.1352,0.2463,0.7789,0.7315,0.6041,0.5116,0.4673,0.3646,0.252785730165874,-45.54982089908185,-14.351621708265329
0.891,0.5068,0.295,0.1612,0.1636,0.1725,0.1522,0.351,0.5705,0.7338,0.762,0.721,0.672,0.5012,0.3844,0.24,0.1761,0.1305,0.1322,0.287,0.2365,0.1455,0.1084,0.2466839161881635,-45.52727090499332,-14.813860000821276
0.2076,0.1897,0.2115,0.3297,0.5516,0.8259,0.8759,0.8432,0.8643,0.7302,0.5921,0.5674,0.343,0.2625,0.1378,0.1168,0.1144,0.3723,0.5299,0.1937,0.1509,0.1445,0.1582,0.27275089642744765,-45.47066998543364,-14.286150850174145
