Long,Lat
-43.67992994779374,-14.09149506726289
-45.42987874721488,-14.18966377801495
-45.43110697895787,-14.250963655626041
-45.44855569452923,-14.285108553859693
-45.9800872590327,-14.609514145402283
-45.953317431491215,-14.60203112445602
-45.44113431834154,-14.259082740976442
-46.10155718409153,-13.813239793968027
-45.5790523845651,-14.785527782449844
-45.93576232671438,-13.71736877093492
-45.595229317602005,-14.788741367286615
-45.53287606066087,-14.82578125944808
-45.42862663978255,-14.262903008430392
-45.52651714116164,-14.84803681243551
-45.415583175184445,-14.278115961100418
-45.54784476590295,-14.791028609492486
-45.53918100105341,-14.381482656281573
-45.54982089908185,-14.351621708265329
-45.52727090499333,-14.813860000821276
-45.47066998543363,-14.286150850174145
-45.54718048284863,-14.804049264500119
-45.57238441004472,-14.417208215098146
-45.57008915136451,-14.390089874539505
-45.41722999633824,-14.266178195703052
-45.49440077732231,-14.32678936735745
-45.4644552698536,-14.30732019408366
-45.963945439360344,-14.612293535084541
-45.54482441703105,-14.753605816151453
-45.55726064435214,-14.766595277279471
-45.43180026565317,-14.17664036984661
-45.43438827476777,-14.294357204610279
-45.55909098620801,-14.387403732525847
-45.537076154183346,-14.776407430985302
-45.531369371299746,-14.372820611059433
-45.43879349538128,-14.271021922345032
-45.53393285425379,-14.80191048649133
-45.43274012356589,-14.305210060207653
-45.42711950378802,-14.274840590225775
-45.41998907165354,-14.254238456039685
-45.544286708106185,-14.364111564808951
-45.48192078040985,-14.279618462064283
-45.55902089336132,-14.359194929688702
-45.938209646967785,-13.704882738225043
-45.51701736254722,-14.363087679606913
-45.5545224428365,-14.396636640084555
-45.55820163051747,-14.753031441938074
-45.53526609233708,-14.31476611128296
-45.55004349871112,-14.778546750868266
-45.43659046698711,-14.282418330498265
-45.452822408423174,-14.2628582876032
-45.537163311047074,-14.352193207529988
-45.46450642683699,-14.264463288824238
-45.55365999843205,-14.328828526122807
-45.52555033032308,-14.383140769802061
-45.49373661636311,-14.277424304728445
-45.94831098699338,-13.664159164836507
-45.57050912830244,-14.769817703820696
-45.540655921646824,-14.814913894906175
-45.52939359506462,-14.360890416729127
-45.54297695706612,-14.851253278595994
-45.503628245055495,-14.285540922888291
-45.51982599818177,-14.374473686262416
-45.53363808205696,-14.33212927473063
-45.98327817616152,-13.801807906349515
-45.53997222566553,-14.76392401991138
-45.49087862477988,-14.30618212796905
-45.47550213170662,-14.26932403308724
-45.452405045530256,-14.192877273799347
-45.52634815433433,-14.307733718012074
-45.54270416202926,-14.342415900940676
-45.58956898089162,-14.39058459447723
-45.576724335668246,-14.373256959985513
-45.56789321563582,-14.402029682339716
-45.53447518494228,-14.39180048199145
-45.50656533222414,-14.354972985651072
-45.71304945724371,-14.413028050931896
-45.55424302589445,-14.339676812246573
-45.51082125408436,-14.330009526820437
-45.56055948810261,-14.418321541395404
-45.50862262376391,-14.341948934301456
-45.521584329226485,-14.352770477589281
-45.853825494721384,-14.585600725687621
-45.513131662563914,-14.306135146894228
-45.94312740246063,-13.68587766840298
-45.4431989378233,-14.24822903149184
-45.79811691744574,-14.660112690143276
-45.843963153738756,-14.70117603059131
-45.772967873185095,-14.638499776189665
-46.007872993097045,-13.777297817325053
-45.7087669113325,-14.422805300775082
-45.498133588471624,-14.316474308871438
-45.48083475062744,-14.29209792819677
-45.48983421188157,-14.337648576610725
-45.45526595655903,-14.302455547425298
-45.54796187124122,-14.387972255002051
-45.5087079257782,-14.318079366265842
-45.92411640361817,-14.578824063544511
-45.932635026228624,-14.58475694997822
-45.49998377763866,-14.335457464199694
-45.78074389038343,-14.552766978769064
-45.836132427949146,-14.693610270685804
-45.52429087413408,-14.320215432968453
-45.57778744705995,-14.40797294789719
-45.599999603024884,-14.800120616704278
-45.7897359488698,-14.653631970194255
-45.52320455660813,-14.331610015782003
-45.460251871667495,-14.292138623074507
-45.534899761827376,-14.855069441979182
-45.843279953998405,-13.883699404966048
-45.82830632603082,-14.687129076130045
-45.541036334673734,-14.284916377416181
-45.56608299384178,-14.782847660856657
-45.47434039916119,-14.312183082768879
-45.789685278927614,-14.561416175427514
-45.76686394652539,-14.605430585693483
-45.761133737173125,-14.59948239489071
-45.5461700584183,-14.280022289525448
-45.77031902506998,-14.59782491376394
-45.180366048468514,-14.55779693267543
-46.09288055394124,-13.797547797386809
-44.36729359476457,-13.614712076649546
-45.239225936110444,-14.649967158910858
-45.18078289260808,-14.55671162911451
-45.27239201353518,-14.660237905297159
-45.17744889591438,-14.566479036679532
-45.26221750262983,-14.655909721737515
-43.76647995643725,-13.12806541540367
-43.75588246918425,-13.14428765620627
-43.61012233176966,-13.252023006376024
-43.67773043451056,-13.267570211523207
-43.75515882546782,-13.123128920996434
-43.78477530279187,-13.233929299247986
-43.66895027432961,-13.227385369014208
-43.62895106978424,-13.25158248077295
-43.656572092590324,-13.238168974822578
-43.73624094819418,-13.250509241875648
-43.6832299100005,-13.27465018138522
-44.36715060295376,-13.616339237401066
-43.633181640070006,-13.262453447542264
-43.59739360822192,-13.250868522873663
-43.57226729731052,-13.239338728351246
-43.7210245098488,-13.274842775735888
-43.72152240055637,-13.232535685301272
-43.70762427088198,-13.269350861512626
-45.1623524815852,-13.497732854240638
-43.716163819914755,-13.224914782756926
-43.604367278009846,-13.241685839675466
-43.73277360292285,-13.224997671184564
-43.606225311785785,-13.231390231882113
-43.578322895164014,-13.221473228573814
