"2017-11-01","2017-11-17","2017-12-03","2017-12-19","2018-01-01","2018-01-17","2018-02-02","2018-02-18","2018-03-06","2018-03-22"
8144,8620,8448,6696,6533,6094,2966,3018,3337,4859
3219,4512,6573,9159,9202,9291,7324,3191,3491,2880
3266,6247,9136,9224,9387,9381,4489,2908,4416,3763
3051,5606,7542,8895,9278,9090,3995,3022,3381,4231
2992,4342,7600,7183,9063,9104,7215,3621,3516,4183
3472,5997,4721,2549,2163,2386,5594,6955,7282,8886
8788,8454,6916,6098,3947,3392,3235,3526,5765,7297
2577,4181,5801,8699,9177,9274,8162,3781,2499,3981
8983,8920,6284,2634,2713,2858,4893,6379,4243,7769
4243,8267,9186,9205,9021,8093,2280,2948,4353,6445
8647,8928,6943,3252,2671,2779,4815,6460,6734,9179
8932,8949,3524,3533,2613,2955,6078,7572,8435,9247
2834,2839,4195,7173,9499,9486,8931,5515,2014,2943
8007,8515,6270,2811,2639,2723,4940,7016,4862,9005
8778,9073,5691,2563,2747,2788,5874,7133,6386,9100
3620,6738,7163,9284,9318,9168,2565,4227,3788,6283
8819,8431,4607,2795,2849,3747,7418,4435,8746,9221
9113,9161,7100,2900,2636,2854,5791,7760,4094,9045
6985,7201,3619,2896,3043,4028,7449,7915,7849,9157
9113,9248,7126,4206,2458,2825,4538,6412,7522,9143
3383,3113,4943,2806,2418,2617,4437,6297,6946,9159
9011,9118,5654,3798,2404,2787,4647,6299,5909,9098
8756,7061,2614,3095,2889,3549,6649,7253,4762,9018
3282,8332,9061,9464,9448,9284,2726,2856,3529,5646
5106,8643,6225,9543,9399,9278,2687,2985,3747,6175
3452,3614,5181,3255,1657,2745,3960,6052,3324,9177
3881,7582,8934,9396,9391,9359,2753,3050,3780,5269
9110,8761,6415,2863,2949,3317,6469,7444,8018,9130
1981,3500,7050,8394,9165,8627,7094,4133,2391,2342
8095,8660,6747,3661,2750,2764,3851,6116,5682,8961
3107,2959,5910,7558,8374,9254,7269,5984,6806,3060
8953,8959,7716,7207,2462,2877,5163,8517,8042,8247
8929,9012,6956,6025,2577,2459,3802,8567,7276,8931
1926,4152,7839,8364,9102,9012,7601,4439,2390,2844
4723,8790,7595,9441,9410,9296,2948,2820,3467,4950
2653,3336,3163,4013,3024,3081,4412,1920,1807,2585
7342,8183,7588,6516,5706,6120,6322,6959,6927,7787
5603,6661,4961,5564,5836,6793,8096,6902,7149,7752
2014,2006,1993,2461,2461,2232,3123,1560,2793,2048
6235,6146,4313,6633,7107,8017,5816,6185,7757,6934
5277,7005,6458,5650,7019,7975,5978,7144,7486,7799
6343,6849,5159,5807,6295,6161,7208,5545,7227,5538
5908,8116,6153,6459,7255,6541,7909,6588,6560,6644
6561,6803,7773,5883,7528,5841,6547,6930,6412,8566
6184,7832,5501,6845,7259,6588,6783,6716,7466,6318
6263,6483,4227,6330,6411,7365,7582,5985,7348,7479
