Lat , Long
-46.739863365332596,-7.859872750855322
-46.7505630289494,-7.881527941167617
-46.39449607959501,-8.176941281467185
-46.82650073164909,-7.8600474249949155
-46.75691909246831,-7.872821504144945
-45.85458787953374,-7.882685991840465
-46.50040052961857,-7.840179233159777
-46.18940319885461,-8.560679871434761
-46.75749818178039,-8.381125746539146
-46.18159918226626,-8.094599109175043
-46.764669200240036,-7.999730607872804
-46.347929863632174,-7.843950440371158
-46.58039832480753,-7.952734080513936
-46.8393307760135,-8.550540079205298
-46.09462778666848,-9.317903890202476
-46.097548586950325,-8.513200721584976
-46.77892404878993,-7.992617194343609
-46.082758673636505,-8.088904213183095
-46.10918996408206,-8.047593193613459
-46.49235181711891,-7.871676229838121
-46.92864063570802,-8.290825827152332
-46.10587342015015,-8.02915256894454
-46.774131880885335,-7.985585532034095
-46.492998961044506,-7.862450438722312
-46.848481213178246,-8.44146444532704
-46.12449236471221,-8.06871416239542
-46.57036674182437,-8.481196956505995
-46.108847050221456,-8.021547684728466
-46.39812311384172,-9.228950028991006
-46.77163062548681,-8.253038565801535
-46.17884650431337,-7.989881213487269
-46.85462429889464,-8.387190604440613
-46.29247384670413,-7.814281164601218
-46.57897474444207,-9.130008120358251
-46.30524027218398,-9.21573515191427
-46.91889512218806,-8.712880791570717
-46.859423102223474,-8.56400514437985
-47.50133111782837,-5.037352216569474
-47.55340810195604,-5.044741492942233
-46.79034004874876,-5.239893052053931
-47.57524944687228,-4.819077239079212
-47.553872643725285,-5.025218218111387
-47.51736278422315,-4.987400784507401
-47.554903476549875,-5.413471980066894
-47.43815360988863,-6.486614925195787
-47.332305681216695,-4.876359460052177
-47.44793343636567,-6.490906046094012
-47.48461524143862,-4.869305742196932
-47.551479503711036,-5.035530598483037
-47.541072353194764,-5.405396236242471
-47.34377481291967,-4.870353694300984
-47.770349246918634,-4.845418272874449
-47.94881938932751,-6.159202839184201
-47.41639659625538,-5.244296130522838
-47.493382519268124,-4.864392687077575
-48.12603430583862,-6.063888189638379
-47.63689161531734,-5.096461604173195
-46.875735915544325,-5.293350844466626
-47.404016565398464,-5.260613485516836
-47.6140159442697,-4.884540155096076
-47.60561582925704,-4.879150430733164
-47.543255910336995,-5.110395559651983
-46.87534154973781,-5.252121655535572
-47.71624254212935,-5.159567549993373
-47.599563436189996,-4.886765335210088
-47.5412075138826,-5.036113075894489
-47.36408418950603,-4.956514746890091
-47.96244637584276,-4.99042269175362
-47.63158934831611,-5.022197946624272
-48.26509513790572,-6.444028667534067
-47.378943683045335,-5.9180076904170935
-43.67992994779374,-14.09149506726289
-45.42987874721488,-14.18966377801495
-45.43110697895787,-14.250963655626041
-45.44855569452923,-14.285108553859693
-45.9800872590327,-14.609514145402283
-45.953317431491215,-14.60203112445602
-45.44113431834154,-14.259082740976442
-46.10155718409153,-13.813239793968027
-45.5790523845651,-14.785527782449844
-45.93576232671438,-13.71736877093492
-45.595229317602005,-14.788741367286615
-45.53287606066087,-14.82578125944808
-45.42862663978255,-14.262903008430392
-45.52651714116164,-14.84803681243551
-45.415583175184445,-14.278115961100418
-45.54784476590295,-14.791028609492486
-45.53918100105341,-14.381482656281573
